identifier,name,opens,openingHours,geoCoordinates.latitude,geoCoordinates.longitude,reservation,hasBreakfast,hasBrunch,hasLunch,hasDinner,isVegetarian,isVegan,main_dishes
2367,Leutschenhaus,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr,Sa 11:30:00-14:00:00', 'Tu,We,Th,Fr,Sa 18:00:00-23:00:00']",47.201658,8.75084,0,0,0,1,1,0,0,['culinary-international']
2361,Gasthof Seefeld,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 06:30:00-23:00:00', 'Sa 07:00:00-23:00:00', 'Su 08:30:00-22:00:00']",47.209332,8.795531,0,0,0,1,1,0,0,[]
2358,Mère Catherine,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:30:00-15:00:00', 'Mo,Tu,We,Th,Fr 17:30:00-23:00:00', 'Sa,Su 11:30:00-23:00:00']",47.370821,8.543808,0,0,0,1,1,0,0,"['culinary-fish', 'culinary-french', 'culinary-mediterranean']"
2350,Metropol,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 07:00:00-00:00:00', 'Sa 08:00:00-00:00:00', 'Su 10:00:00-18:00:00']",47.36823,8.541297,1,0,0,1,1,0,0,"['culinary-asian', 'culinary-japanese-sushi', 'atmosphere', 'atmosphere-glamurous-and-chic']"
2341,Eders Eichmühle,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['We,Th,Fr,Sa 11:30:00-15:00:00', 'We,Th,Fr,Sa 18:30:00-23:30:00', 'Su 11:30:00-16:00:00']",47.214134,8.681676,0,0,0,1,1,0,0,['culinary-gourmet']
2338,Mövenpick Hotel Restaurant,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Su 12:00:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa,Su 18:00:00-22:00:00']",47.4395255,8.5688655,1,1,1,1,1,0,0,"['culinary-international', 'culinary-local-specialities', 'culinary-bbq', 'culinary-mediterranean']"
2322,Berggasthaus Chrüzegg ,"['Saturday', 'Sunday']","['Tu,We,Th,Fr,Sa 08:00:00-21:00:00', 'Su 08:00:00-16:30:00']",47.291534,9.087814,0,0,0,1,1,0,0,[]
2315,Nooba,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa 11:00:00-23:00:00', 'Su 14:00:00-23:00:00']",47.365088,8.554726,1,0,0,1,1,0,0,['culinary-asian']
2313,Oliveiras,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr 11:45:00-14:00:00', 'Tu,We,Th,Fr 18:30:00-23:00:00', 'Sa 18:00:00-23:00:00']",47.19011,8.850043,1,0,0,1,1,0,0,"['culinary-gourmet', 'culinary-mediterranean']"
2311,Osteria Vista,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:30:00-13:30:00', 'Mo,Tu,We,Th,Fr 18:00:00-23:00:00', 'Sa,Su 11:30:00-23:00:00']",47.193486,8.851502,1,0,0,1,1,0,0,"['culinary-italian', 'culinary-pasta', 'culinary-pizza']"
2307,Brasserie du Lac,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 07:00:00-22:30:00', 'Sa,Su 08:00:00-22:30:00']",47.136607,9.106662,0,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-fish']"
2305,Parkhuus,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']",,47.365985,8.533419,0,0,0,1,1,0,0,"['culinary-gourmet', 'culinary-local-specialities', 'culinary-mediterranean']"
2279,Restaurant & Bar Zürichberg,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 06:30:00-21:00:00', 'Sa,Su 07:30:00-21:00:00']",47.382455,8.567144,0,1,1,1,1,0,0,"['culinary-gourmet', 'culinary-local-specialities']"
